"Ad name","Amount spent (USD)",Impressions,"Clicks (all)","Link clicks","Reporting starts","Reporting ends"
"SC6_MovingLongDistance | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 10-23-2025",622.02,5803,122,78,2025-09-15,2026-03-03
"SC10_Saved2k | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",621.21,17991,317,204,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 12-01-2025",609.14,7001,130,97,2025-09-15,2026-03-03
"SC3_WhyPayMore | SV5_AppleNoteLinkCTA | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",607.68,9826,144,111,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-28-2025",602.86,21033,445,131,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK13_SmarterMoving | CB7_MovingA2Bedroom | 2-2-2026",600.73,16377,330,261,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV1_TruckSide | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",597.42,6937,111,74,2025-09-15,2026-03-03
"3BR Cross-Country Cost - Offer Lead 1 - CIDXFH8QT1 | CHK13_SmarterMoving | CB7_MovingA2Bedroom | 02-23-2026",590.51,16056,4800,5323,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 09-30-2025",590.2,14830,218,141,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",588.26,14350,346,102,2025-09-15,2026-03-03
"VHK25_Barbara | VB8_AnotherHappyCustomer | VV13_IGTestimonial | CHK3_StressFreeLongDistance | CB2_StressFree | 1-29-2026",582.99,8404,465,381,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK25_WhatFamiliesSay | CB10_3BR-SOCIALPROOFANGLE | 02-26-2026",582.5,8763,106,75,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 09-30-2025",581.45,18173,369,232,2025-09-15,2026-03-03
"SC10_Saved2k | SV8_Gmail | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",573.03,14687,223,120,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-23-2025",558.03,13110,385,89,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-28-2025",554.84,18428,312,203,2025-09-15,2026-03-03
"SC10_Saved2k | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-30-2025",546.53,14067,213,150,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB1_Savings | 09-30-2025",546.11,12654,258,170,2025-09-15,2026-03-03
"Quiet Overwhelm - Offer Lead 4 - CIDO82ZBNH | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026",544.74,10972,188,147,2025-09-15,2026-03-03
"SC3_WhyPayMore | SV4_AppleNoteButtonCTA | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",544.19,6100,120,93,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025",531.99,15874,323,178,2025-09-15,2026-03-03
